treatment_sample_ID,pert_id,expected_control,status,unmatched_reason,matched_control_count,matched_control_sample_IDs,match_data_source,match_Strains,match_Medium,match_Temperature,match_pert_time,match_pert_time_unit,match_instrument,match_Yeast_cell_plate
B1-1108,#13,Water,matched,,1,B1-1059,WAYB_rep1,CGD,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1109,#5,Water,matched,,1,B1-1061,WAYB_rep1,BAH,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1110,#13,Water,matched,,1,B1-1061,WAYB_rep1,BAH,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1113,#5,Water,matched,,1,B1-1065,WAYB_rep1,CEK,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1114,#13,Water,matched,,1,B1-1065,WAYB_rep1,CEK,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1115,#5,Water,matched,,1,B1-1067,WAYB_rep1,DHY210,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1116,#13,Water,matched,,1,B1-1067,WAYB_rep1,DHY210,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1119,#6,DMSO,matched,,1,B1-1096,WAYB_rep1,CGD,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1121,#6,DMSO,matched,,1,B1-1098,WAYB_rep1,BAH,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1125,#6,DMSO,matched,,1,B1-1102,WAYB_rep1,CEK,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1127,#6,DMSO,matched,,1,B1-1104,WAYB_rep1,DHY210,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1131,#7,Water,matched,,1,B1-1059,WAYB_rep1,CGD,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1132,#15,Water,matched,,1,B1-1059,WAYB_rep1,CGD,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1133,#7,Water,matched,,1,B1-1061,WAYB_rep1,BAH,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1134,#15,Water,matched,,1,B1-1061,WAYB_rep1,BAH,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1137,#7,Water,matched,,1,B1-1065,WAYB_rep1,CEK,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1138,#15,Water,matched,,1,B1-1065,WAYB_rep1,CEK,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1140,#15,Water,matched,,1,B1-1067,WAYB_rep1,DHY210,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1144,#16,DMSO,matched,,1,B1-1096,WAYB_rep1,CGD,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1146,#16,DMSO,matched,,1,B1-1098,WAYB_rep1,BAH,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1152,#16,DMSO,matched,,1,B1-1104,WAYB_rep1,DHY210,YNB+CSM+2% galactose,30,240,min,QE2,WAY_B-1_P12
B1-1167,#2,DMSO,matched,,1,B1-1192,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1168,#10,DMSO,matched,,1,B1-1192,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1169,#2,DMSO,matched,,1,B1-1194,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1170,#10,DMSO,matched,,1,B1-1194,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1173,#2,DMSO,matched,,1,B1-1198,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1174,#10,DMSO,matched,,1,B1-1198,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1175,#2,DMSO,matched,,1,B1-1200,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1176,#10,DMSO,matched,,1,B1-1200,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1203,#5,Water,matched,,1,B1-1155,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1204,#13,Water,matched,,1,B1-1155,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1205,#5,Water,matched,,1,B1-1157,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1206,#13,Water,matched,,1,B1-1157,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1209,#5,Water,matched,,1,B1-1161,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1210,#13,Water,matched,,1,B1-1161,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1211,#5,Water,matched,,1,B1-1163,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1212,#13,Water,matched,,1,B1-1163,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1215,#6,DMSO,matched,,1,B1-1192,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1217,#6,DMSO,matched,,1,B1-1194,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1221,#6,DMSO,matched,,1,B1-1198,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1223,#6,DMSO,matched,,1,B1-1200,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1227,#7,Water,matched,,1,B1-1155,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1228,#15,Water,matched,,1,B1-1155,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1229,#7,Water,matched,,1,B1-1157,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1230,#15,Water,matched,,1,B1-1157,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1233,#7,Water,matched,,1,B1-1161,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1234,#15,Water,matched,,1,B1-1161,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1235,#7,Water,matched,,1,B1-1163,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1236,#15,Water,matched,,1,B1-1163,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1240,#16,DMSO,matched,,1,B1-1192,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1242,#16,DMSO,matched,,1,B1-1194,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1246,#16,DMSO,matched,,1,B1-1198,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1248,#16,DMSO,matched,,1,B1-1200,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,15,min,QE1,WAY_B-1_P13
B1-1263,#2,DMSO,matched,,1,B1-1288,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1264,#10,DMSO,matched,,1,B1-1288,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1266,#10,DMSO,matched,,1,B1-1290,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1269,#2,DMSO,matched,,1,B1-1294,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1270,#10,DMSO,matched,,1,B1-1294,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1271,#2,DMSO,matched,,1,B1-1296,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1272,#10,DMSO,matched,,1,B1-1296,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1299,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1300,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1301,#5,Water,matched,,1,B1-1253,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1302,#13,Water,matched,,1,B1-1253,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1306,#13,Water,matched,,1,B1-1257,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1307,#5,Water,matched,,1,B1-1259,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1308,#13,Water,matched,,1,B1-1259,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1311,#6,DMSO,matched,,1,B1-1288,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1313,#6,DMSO,matched,,1,B1-1290,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1317,#6,DMSO,matched,,1,B1-1294,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1319,#6,DMSO,matched,,1,B1-1296,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1323,#7,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1324,#15,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1326,#15,Water,matched,,1,B1-1253,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1329,#7,Water,matched,,1,B1-1257,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1330,#15,Water,matched,,1,B1-1257,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1331,#7,Water,matched,,1,B1-1259,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1332,#15,Water,matched,,1,B1-1259,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1336,#16,DMSO,matched,,1,B1-1288,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1342,#16,DMSO,matched,,1,B1-1294,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1344,#16,DMSO,matched,,1,B1-1296,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,30,min,CAB,WAY_B-1_P14
B1-1359,#2,DMSO,matched,,1,B1-1384,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1360,#10,DMSO,matched,,1,B1-1384,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1361,#2,DMSO,matched,,1,B1-1386,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1362,#10,DMSO,matched,,1,B1-1386,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1365,#2,DMSO,matched,,1,B1-1390,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1366,#10,DMSO,matched,,1,B1-1390,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1367,#2,DMSO,matched,,1,B1-1392,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1368,#10,DMSO,matched,,1,B1-1392,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1395,#5,Water,matched,,1,B1-1347,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1396,#13,Water,matched,,1,B1-1347,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1397,#5,Water,matched,,1,B1-1349,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1398,#13,Water,matched,,1,B1-1349,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1401,#5,Water,matched,,1,B1-1353,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1402,#13,Water,matched,,1,B1-1353,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1403,#5,Water,matched,,1,B1-1355,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1404,#13,Water,matched,,1,B1-1355,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1407,#6,DMSO,matched,,1,B1-1384,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1409,#6,DMSO,matched,,1,B1-1386,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1413,#6,DMSO,matched,,1,B1-1390,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1415,#6,DMSO,matched,,1,B1-1392,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1419,#7,Water,matched,,1,B1-1347,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1420,#15,Water,matched,,1,B1-1347,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1421,#7,Water,matched,,1,B1-1349,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1422,#15,Water,matched,,1,B1-1349,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1425,#7,Water,matched,,1,B1-1353,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1426,#15,Water,matched,,1,B1-1353,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1427,#7,Water,matched,,1,B1-1355,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1428,#15,Water,matched,,1,B1-1355,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1432,#16,DMSO,matched,,1,B1-1384,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1434,#16,DMSO,matched,,1,B1-1386,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1438,#16,DMSO,matched,,1,B1-1390,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1440,#16,DMSO,matched,,1,B1-1392,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,60,min,QE2,WAY_B-1_P15
B1-1455,#2,DMSO,matched,,1,B1-1480,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1456,#10,DMSO,matched,,1,B1-1480,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1457,#2,DMSO,matched,,1,B1-1482,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1458,#10,DMSO,matched,,1,B1-1482,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1461,#2,DMSO,matched,,1,B1-1486,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1462,#10,DMSO,matched,,1,B1-1486,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1463,#2,DMSO,matched,,1,B1-1488,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1464,#10,DMSO,matched,,1,B1-1488,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1491,#5,Water,matched,,1,B1-1443,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1492,#13,Water,matched,,1,B1-1443,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1493,#5,Water,matched,,1,B1-1445,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1494,#13,Water,matched,,1,B1-1445,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1497,#5,Water,matched,,1,B1-1449,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1498,#13,Water,matched,,1,B1-1449,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1499,#5,Water,matched,,1,B1-1451,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1500,#13,Water,matched,,1,B1-1451,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1503,#6,DMSO,matched,,1,B1-1480,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1505,#6,DMSO,matched,,1,B1-1482,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1509,#6,DMSO,matched,,1,B1-1486,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1511,#6,DMSO,matched,,1,B1-1488,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1516,#15,Water,matched,,1,B1-1443,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1517,#7,Water,matched,,1,B1-1445,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1518,#15,Water,matched,,1,B1-1445,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1521,#7,Water,matched,,1,B1-1449,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1522,#15,Water,matched,,1,B1-1449,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1523,#7,Water,matched,,1,B1-1451,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1528,#16,DMSO,matched,,1,B1-1480,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1530,#16,DMSO,matched,,1,B1-1482,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1534,#16,DMSO,matched,,1,B1-1486,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1536,#16,DMSO,matched,,1,B1-1488,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,90,min,QE1,WAY_B-1_P16
B1-1551,#2,DMSO,matched,,1,B1-1576,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1552,#10,DMSO,matched,,1,B1-1576,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1553,#2,DMSO,matched,,1,B1-1578,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1554,#10,DMSO,matched,,1,B1-1578,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1557,#2,DMSO,matched,,1,B1-1582,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1558,#10,DMSO,matched,,1,B1-1582,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1559,#2,DMSO,matched,,1,B1-1584,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1560,#10,DMSO,matched,,1,B1-1584,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1587,#5,Water,matched,,1,B1-1539,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1588,#13,Water,matched,,1,B1-1539,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1589,#5,Water,matched,,1,B1-1541,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1590,#13,Water,matched,,1,B1-1541,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1593,#5,Water,matched,,1,B1-1545,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1594,#13,Water,matched,,1,B1-1545,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1595,#5,Water,matched,,1,B1-1547,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1596,#13,Water,matched,,1,B1-1547,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1599,#6,DMSO,matched,,1,B1-1576,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1601,#6,DMSO,matched,,1,B1-1578,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1605,#6,DMSO,matched,,1,B1-1582,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1607,#6,DMSO,matched,,1,B1-1584,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1611,#7,Water,matched,,1,B1-1539,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1612,#15,Water,matched,,1,B1-1539,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1613,#7,Water,matched,,1,B1-1541,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1614,#15,Water,matched,,1,B1-1541,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1617,#7,Water,matched,,1,B1-1545,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1618,#15,Water,matched,,1,B1-1545,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1619,#7,Water,matched,,1,B1-1547,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1620,#15,Water,matched,,1,B1-1547,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1624,#16,DMSO,matched,,1,B1-1576,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1626,#16,DMSO,matched,,1,B1-1578,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1630,#16,DMSO,matched,,1,B1-1582,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1632,#16,DMSO,matched,,1,B1-1584,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,120,min,QE2,WAY_B-1_P17
B1-1647,#2,DMSO,matched,,1,B1-1672,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1648,#10,DMSO,matched,,1,B1-1672,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1649,#2,DMSO,matched,,1,B1-1674,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1650,#10,DMSO,matched,,1,B1-1674,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1653,#2,DMSO,matched,,1,B1-1678,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1654,#10,DMSO,matched,,1,B1-1678,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1655,#2,DMSO,matched,,1,B1-1680,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1656,#10,DMSO,matched,,1,B1-1680,WAYB_rep1,DHY210,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1683,#5,Water,matched,,1,B1-1635,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1684,#13,Water,matched,,1,B1-1635,WAYB_rep1,CGD,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1685,#5,Water,matched,,1,B1-1637,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1686,#13,Water,matched,,1,B1-1637,WAYB_rep1,BAH,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
B1-1689,#5,Water,matched,,1,B1-1641,WAYB_rep1,CEK,YNB+CSM+2% glucose,37,240,min,CAB,WAY_B-1_P18
