raw_name,normalized_name,candidate_cids,selected_cid,review_status,mapping_status,decision_reason,structure_issue,evidence_url,review_date,cas_number,candidate_summaries_json
Hydroxyurea,Hydroxyurea,3657,3657,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/3657,2026-08-13,,"[{""cid"":""3657"",""connectivity_smiles"":""C(=O)(N)NO"",""formula"":""CH4N2O2"",""isomeric_smiles"":""C(=O)(N)NO"",""matched_aliases"":[""Hydroxyurea""],""title"":""Hydroxyurea""}]"
Hygromycin B,Hygromycin B,56928061,56928061,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/56928061,2026-08-13,,"[{""cid"":""56928061"",""connectivity_smiles"":""CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N"",""formula"":""C20H37N3O13"",""isomeric_smiles"":""CN[C@H]1C[C@H]([C@@H]([C@H]([C@@H]1O)O[C@H]2[C@@H]3[C@H]([C@H]([C@H](O2)CO)O)OC4(O3)[C@@H]([C@H]([C@H]([C@H](O4)[C@H](CO)N)O)O)O)O)N"",""matched_aliases"":[""Hygromycin B""],""title"":""Hygromycin B""}]"
LY 294002 hydrochloride,LY 294002 hydrochloride,11957589,11957589,reviewed,confirmed,Spaced and compact aliases agree on the hydrochloride entry; chloride removal is explicit and raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/11957589,2026-08-13,,"[{""cid"":""11957589"",""connectivity_smiles"":""C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl"",""formula"":""C19H18ClNO3"",""isomeric_smiles"":""C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4.Cl"",""matched_aliases"":[""LY 294002 hydrochloride"",""LY294002 hydrochloride""],""title"":""2-Morpholin-4-yl-8-phenylchromen-4-one;hydrochloride""}]"
MMS,MMS,4156,4156,reviewed,confirmed,Abbreviation and methyl methanesulfonate alias both resolve to CID 4156.,,https://pubchem.ncbi.nlm.nih.gov/compound/4156,2026-08-13,,"[{""cid"":""4156"",""connectivity_smiles"":""COS(=O)(=O)C"",""formula"":""C2H6O3S"",""isomeric_smiles"":""COS(=O)(=O)C"",""matched_aliases"":[""MMS"",""methyl methanesulfonate""],""title"":""Methyl Methanesulfonate""}]"
NaCl,NaCl,5234,5234,reviewed,confirmed,"Identity confirmed as sodium chloride CID 5234. The intact [Na+].[Cl-] ionic structure is retained; the current ordinary-organic Morgan/RDKit feature system is not applicable, so explicit zero-feature fallback is used without selecting one ion or removing salt.",multicomponent_or_salt|身份已确认，但当前 Morgan/RDKit 特征体系不适用,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-Chloride,2026-08-13,,"[{""cid"":""5234"",""connectivity_smiles"":""[Na+].[Cl-]"",""formula"":""ClNa"",""isomeric_smiles"":""[Na+].[Cl-]"",""matched_aliases"":[""NaCl""],""title"":""Sodium Chloride""}]"
Neomycin B,Neomycin B,8378,8378,reviewed,confirmed,Exact synonym resolves uniquely to PubChem Neomycin CID 8378.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/8378,2026-08-13,,"[{""cid"":""8378"",""connectivity_smiles"":""C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N"",""formula"":""C23H46N6O13"",""isomeric_smiles"":""C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N"",""matched_aliases"":[""Neomycin B""],""title"":""Neomycin""}]"
Nigericin,Nigericin,34230,34230,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/34230,2026-08-13,,"[{""cid"":""34230"",""connectivity_smiles"":""CC1CCC(OC1C(C)C(=O)O)CC2CC(C(C3(O2)C(CC(O3)(C)C4CCC(O4)(C)C5C(CC(O5)C6C(CC(C(O6)(CO)O)C)C)C)C)C)OC"",""formula"":""C40H68O11"",""isomeric_smiles"":""C[C@H]1CC[C@@H](O[C@H]1[C@@H](C)C(=O)O)C[C@@H]2C[C@H]([C@H]([C@@]3(O2)[C@@H](C[C@@](O3)(C)[C@H]4CC[C@@](O4)(C)[C@H]5[C@H](C[C@@H](O5)[C@@H]6[C@H](C[C@H]([C@@](O6)(CO)O)C)C)C)C)C)OC"",""matched_aliases"":[""Nigericin""],""title"":""Nigericin""}]"
Nocodazole,Nocodazole,4122,4122,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/4122,2026-08-13,,"[{""cid"":""4122"",""connectivity_smiles"":""COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3"",""formula"":""C14H11N3O3S"",""isomeric_smiles"":""COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3"",""matched_aliases"":[""Nocodazole""],""title"":""Nocodazole""}]"
Nystatin dihydrate,Nystatin dihydrate,154809619,154809619,reviewed,confirmed,Exact dihydrate entry selected; water removal for model parent is explicitly approved while raw hydrate is retained.,multicomponent_or_salt|stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/154809619,2026-08-13,,"[{""cid"":""154809619"",""connectivity_smiles"":""CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O.O.O"",""formula"":""C47H79NO19"",""isomeric_smiles"":""C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC2CC3C(C(CC(O3)(CC(C(CCC(CC(CC(CC(=O)OC(C(C(C(/C=C/C=C/CC/C=C/C=C/C=C/C=C2)C)O)C)C)O)O)O)O)O)O)O)C(=O)O)O)N)O.O.O"",""matched_aliases"":[""Nystatin dihydrate""],""title"":""Nystatin dihydrate""}]"
Oligomycin,Oligomycin,52947716,52947716,reviewed,proxy,The metadata gives a family name without component identity; Oligomycin A is an explicit proxy and is not claimed as exact.,stereochemistry|name_not_exact_synonym|proxy_structure,https://pubchem.ncbi.nlm.nih.gov/compound/52947716,2026-08-13,,"[{""cid"":""52947716"",""connectivity_smiles"":""CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C"",""formula"":""C45H74O11"",""isomeric_smiles"":""CC[C@@H]\\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C"",""matched_aliases"":[""oligomycin A""],""title"":""Oligomycin A""}]"
Parthenolide,Parthenolide,6473881,6473881,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/6473881,2026-08-13,,"[{""cid"":""6473881"",""connectivity_smiles"":""CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C"",""formula"":""C15H20O3"",""isomeric_smiles"":""C/C/1=C\\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C"",""matched_aliases"":[""Parthenolide""],""title"":""Parthenolide""}]"
Pentamidine isethionate,Pentamidine isethionate,8813,8813,reviewed,confirmed,Exact isethionate salt entry selected; counterion removal for model parent is explicitly approved while raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/8813,2026-08-13,,"[{""cid"":""8813"",""connectivity_smiles"":""C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O"",""formula"":""C23H36N4O10S2"",""isomeric_smiles"":""C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O"",""matched_aliases"":[""Pentamidine isethionate""],""title"":""Pentamidine Isethionate""}]"
Plumbagin,Plumbagin,10205,10205,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/10205,2026-08-13,,"[{""cid"":""10205"",""connectivity_smiles"":""CC1=CC(=O)C2=C(C1=O)C=CC=C2O"",""formula"":""C11H8O3"",""isomeric_smiles"":""CC1=CC(=O)C2=C(C1=O)C=CC=C2O"",""matched_aliases"":[""Plumbagin""],""title"":""Plumbagin""}]"
Raloxifene hydrochloride,Raloxifene hydrochloride,54900,54900,reviewed,confirmed,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/54900,2026-08-13,,"[{""cid"":""54900"",""connectivity_smiles"":""C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl"",""formula"":""C28H28ClNO4S"",""isomeric_smiles"":""C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl"",""matched_aliases"":[""Raloxifene hydrochloride""],""title"":""Raloxifene Hydrochloride""}]"
Rapamycin,Rapamycin,5284616,5284616,reviewed,confirmed,Rapamycin synonym resolves uniquely to PubChem Sirolimus CID 5284616.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/5284616,2026-08-13,,"[{""cid"":""5284616"",""connectivity_smiles"":""CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC"",""formula"":""C51H79NO13"",""isomeric_smiles"":""C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC"",""matched_aliases"":[""Rapamycin""],""title"":""Sirolimus""}]"
SDS,SDS,3423265,3423265,reviewed,confirmed,Expanded sodium dodecyl sulfate alias resolves uniquely; sodium removal for model parent is explicit and raw salt is retained.,multicomponent_or_salt|name_not_exact_synonym,https://pubchem.ncbi.nlm.nih.gov/compound/3423265,2026-08-13,,"[{""cid"":""3423265"",""connectivity_smiles"":""CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]"",""formula"":""C12H25NaO4S"",""isomeric_smiles"":""CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]"",""matched_aliases"":[""sodium dodecyl sulfate""],""title"":""Sodium Lauryl Sulfate""}]"
Sorbitol,Sorbitol,5780,5780,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/5780,2026-08-13,,"[{""cid"":""5780"",""connectivity_smiles"":""C(C(C(C(C(CO)O)O)O)O)O"",""formula"":""C6H14O6"",""isomeric_smiles"":""C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O"",""matched_aliases"":[""Sorbitol""],""title"":""Sorbitol""}]"
Staurosporine,Staurosporine,44259,44259,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/44259,2026-08-13,,"[{""cid"":""44259"",""connectivity_smiles"":""CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC"",""formula"":""C28H26N4O3"",""isomeric_smiles"":""C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC"",""matched_aliases"":[""Staurosporine""],""title"":""Staurosporine""}]"
Sulfometuron methyl,Sulfometuron methyl,52997,52997,reviewed,confirmed,Spacing variant resolves uniquely to PubChem Sulfometuron-methyl.,,https://pubchem.ncbi.nlm.nih.gov/compound/52997,2026-08-13,,"[{""cid"":""52997"",""connectivity_smiles"":""CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C"",""formula"":""C15H16N4O5S"",""isomeric_smiles"":""CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C"",""matched_aliases"":[""Sulfometuron methyl""],""title"":""Sulfometuron-methyl""}]"
Tamoxifen,Tamoxifen,2733526,2733526,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/2733526,2026-08-13,,"[{""cid"":""2733526"",""connectivity_smiles"":""CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3"",""formula"":""C26H29NO"",""isomeric_smiles"":""CC/C(=C(\\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3"",""matched_aliases"":[""Tamoxifen""],""title"":""Tamoxifen""}]"
Trichostatin A,Trichostatin A,444732,444732,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/444732,2026-08-13,,"[{""cid"":""444732"",""connectivity_smiles"":""CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C"",""formula"":""C17H22N2O3"",""isomeric_smiles"":""C[C@H](/C=C(\\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C"",""matched_aliases"":[""Trichostatin A""],""title"":""Trichostatin A""}]"
Trifluoperazine dihydrochloride,Trifluoperazine dihydrochloride,66064,66064,reviewed,confirmed,Exact dihydrochloride synonym resolves to CID 66064; chloride removal is explicit and raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/66064,2026-08-13,,"[{""cid"":""66064"",""connectivity_smiles"":""CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl"",""formula"":""C21H26Cl2F3N3S"",""isomeric_smiles"":""CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl"",""matched_aliases"":[""Trifluoperazine dihydrochloride""],""title"":""Trifluoperazine Hydrochloride""}]"
Tunicamycin,Tunicamycin,11104835,,reviewed,unresolved,Tunicamycin is a homolog mixture/family name and the alias query did not uniquely preserve a stated component; no silent component choice.,,https://pubchem.ncbi.nlm.nih.gov/compound/11104835,2026-08-13,,"[{""cid"":""11104835"",""connectivity_smiles"":""CC(C)CCCCCCCCCC=CC(=O)NC1C(C(C(OC1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CC(C3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O)O)O"",""formula"":""C38H62N4O16"",""isomeric_smiles"":""CC(C)CCCCCCCCC/C=C/C(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)C[C@H]([C@@H]3[C@H]([C@H]([C@@H](O3)N4C=CC(=O)NC4=O)O)O)O)O)O"",""matched_aliases"":[""tunicamycin V""],""title"":""Tunicamycin B2""}]"
U-73122,U-73122,5631|104794|11957723|21117951|54052933|138107731|177926704,104794,reviewed,confirmed,"CAS 112648-68-7 cross-check resolves the ambiguous name result: NLM MeSH binds U-73122 to this CAS and chemical name, while Tocris independently reports the same CAS, PubChem CID 104794, stereochemical SMILES, formula, and InChIKey; PubChem CID 104794 agrees.",multiple_candidate_cids|stereochemistry,https://meshb.nlm.nih.gov/record/ui?name=U+73122|https://pubchem.ncbi.nlm.nih.gov/compound/104794|https://www.tocris.com/products/u-73122_1268,2026-08-13,112648-68-7,"[{""cid"":""5631"",""connectivity_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""formula"":""C29H40N2O3"",""isomeric_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""matched_aliases"":[""U-73122""],""title"":""1-[6-[(3-Methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl)amino]hexyl]pyrrole-2,5-dione""},{""cid"":""104794"",""connectivity_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""formula"":""C29H40N2O3"",""isomeric_smiles"":""C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""matched_aliases"":[""U-73122"",""U73122""],""title"":""1-(6-(((17beta)-3-Methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione""},{""cid"":""11957723"",""connectivity_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""formula"":""C29H40N2O3"",""isomeric_smiles"":""C[C@]12CCC3C(C1CC[C@@H]2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""matched_aliases"":[""U-73122""],""title"":""Sdccgsbi-0051202.P002""},{""cid"":""21117951"",""connectivity_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""formula"":""C29H40N2O3"",""isomeric_smiles"":""C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""matched_aliases"":[""U-73122""],""title"":""1-(6-((3-Methoxyestra-1,3,5(10)-trien-17-yl) amino)hexyl)-1h-pyrrole-2,5-dione""},{""cid"":""54052933"",""connectivity_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""formula"":""C29H40N2O3"",""isomeric_smiles"":""C[C@]12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""matched_aliases"":[""U-73122""],""title"":""1-[6-[[(13S)-3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]amino]hexyl]pyrrole-2,5-dione""},{""cid"":""138107731"",""connectivity_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""formula"":""C29H40N2O3"",""isomeric_smiles"":""C[C@]12CC[C@@H]3[C@H]([C@@H]1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""matched_aliases"":[""U-73122""],""title"":""1-[6-[[(8R,9R,13S,14S)-3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]amino]hexyl]pyrrole-2,5-dione""},{""cid"":""177926704"",""connectivity_smiles"":""CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""formula"":""C29H40N2O3"",""isomeric_smiles"":""C[C@@]12CCC3C(C1CC[C@@H]2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC"",""matched_aliases"":[""U-73122""],""title"":""1-[6-[[(13R,17S)-3-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl]amino]hexyl]pyrrole-2,5-dione""}]"
Valinomycin,Valinomycin,3000706,3000706,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/3000706,2026-08-13,,"[{""cid"":""3000706"",""connectivity_smiles"":""CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C"",""formula"":""C54H90N6O18"",""isomeric_smiles"":""C[C@H]1C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@@H](C(=O)N[C@@H](C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C"",""matched_aliases"":[""Valinomycin""],""title"":""Valinomycin""}]"
Wortmannin,Wortmannin,312145,312145,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/312145,2026-08-13,,"[{""cid"":""312145"",""connectivity_smiles"":""CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C"",""formula"":""C23H24O8"",""isomeric_smiles"":""CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C"",""matched_aliases"":[""Wortmannin""],""title"":""Wortmannin""}]"
